Node,Layer,Degree_Centrality,Longitude,Latitude
poi_49736461,poi,0.0,-116.568725,33.0502268
poi_150964201,poi,0.000315955766192733,-117.2446749,32.8398116
poi_150973839,poi,0.0,-117.2242026,32.7958821
poi_250780545,poi,4.513653802753329e-05,-117.1452453,33.0865117
poi_273593057,poi,0.0008124576844955991,-117.2320867,32.8664098
poi_273593515,poi,0.000631911532385466,-117.232406,32.865636
poi_273593654,poi,0.000631911532385466,-117.2321777,32.8657668
poi_273604598,poi,0.0008124576844955991,-117.2233539,32.8618668
poi_273607070,poi,0.0007673211464680659,-117.2247749,32.862364
poi_273607369,poi,0.0008575942225231325,-117.2247266,32.8620126
poi_274191517,poi,0.00040622884224779957,-117.2144772,32.8516297
poi_274192609,poi,9.027307605506658e-05,-117.1905561,32.8267285
poi_274192796,poi,0.0004513653802753329,-117.1847797,32.820879
poi_274193121,poi,0.00022568269013766644,-117.1837196,32.8242878
poi_274193511,poi,0.0006770480704129993,-117.1837793,32.8213897
poi_274357016,poi,0.0,-117.218528,32.8694131
poi_274358074,poi,0.0007221846084405326,-117.2247153,32.8627747
poi_274361347,poi,0.0008575942225231325,-117.2024822,32.8539243
poi_274362142,poi,0.00013540961408259986,-117.2004664,32.8538449
poi_274363369,poi,0.000631911532385466,-117.1738615,32.8336437
poi_276538024,poi,0.0007221846084405326,-117.2246462,32.8627613
poi_276539106,poi,0.0007673211464680659,-117.224569,32.8627397
poi_276539525,poi,0.0007673211464680659,-117.2243029,32.8626604
poi_276540072,poi,0.0007673211464680659,-117.2244316,32.8626893
poi_276540129,poi,0.0007673211464680659,-117.2244745,32.8627253
poi_276540274,poi,0.0007673211464680659,-117.2241999,32.862646
poi_276540617,poi,0.0007673211464680659,-117.2241141,32.8625811
poi_276540738,poi,0.0007673211464680659,-117.224079,32.8625162
poi_276540860,poi,0.0007673211464680659,-117.223993,32.8624874
poi_276540980,poi,0.0007673211464680659,-117.2247194,32.8625503
poi_276540987,poi,0.0007673211464680659,-117.2247352,32.8624872
poi_276541019,poi,0.0008124576844955991,-117.2246119,32.8620188
poi_277839880,poi,0.0009478672985781991,-117.231669,32.8682983
poi_277839901,poi,0.0009478672985781991,-117.232093,32.8681983
poi_277840055,poi,0.000631911532385466,-117.2310331,32.8694062
poi_277840140,poi,0.0010381403746332657,-117.232496,32.8693375
poi_277842932,poi,0.00018054615211013315,-117.2335593,32.8767402
poi_281144677,poi,0.0,-117.1427138,32.7229448
poi_286316702,poi,0.0007221846084405326,-117.1563121,32.7127302
poi_290588606,poi,0.0,-117.1980877,32.8312768
poi_297819169,poi,0.0011735499887158655,-117.1626707,32.7105552
poi_316541540,poi,0.000631911532385466,-117.155173,32.7494658
poi_316542113,poi,0.0006770480704129993,-117.1546337,32.749375
poi_316543226,poi,9.027307605506658e-05,-117.14738,32.744279
poi_316550481,poi,0.0009027307605506658,-117.1503297,32.7496575
poi_324739412,poi,0.001083276912660799,-117.2375733,32.8808462
poi_339167460,poi,0.0011735499887158655,-117.169481,32.7221378
poi_339167501,poi,0.002031144211238998,-117.168505,32.7228844
poi_339168755,poi,0.001579778830963665,-117.1685031,32.7247806
poi_341443274,poi,0.00027081922816519973,-117.172319,32.7297809
poi_347332744,poi,0.002482509591514331,-117.1517672,32.7312604
poi_347332797,poi,0.0034755134281200632,-117.1514638,32.7312635
poi_353134708,poi,0.001579778830963665,-117.1606403,32.7476845
poi_353134887,poi,0.001579778830963665,-117.1606175,32.7479748
poi_353134888,poi,0.001579778830963665,-117.1606151,32.7479054
poi_353134977,poi,0.0015346422929361319,-117.1608187,32.7477432
poi_353135130,poi,0.001579778830963665,-117.161435,32.7481272
poi_353135131,poi,0.0015346422929361319,-117.161363,32.7481257
poi_353135133,poi,0.001579778830963665,-117.1611445,32.7481241
poi_353135135,poi,0.0016249153689911983,-117.1609278,32.7481333
poi_353135136,poi,0.0016700519070187317,-117.1608726,32.7481326
poi_353135137,poi,0.001715188445046265,-117.1607968,32.7481411
poi_353135500,poi,0.0013540961408259986,-117.1612824,32.7472
poi_353135501,poi,0.0013540961408259986,-117.1612285,32.7472
poi_353135502,poi,0.0013540961408259986,-117.1611159,32.7472008
poi_355998823,poi,0.0023019634394041977,-117.170152,32.708911
poi_356081720,poi,0.00018054615211013315,-117.1435327,32.9254458
poi_356097630,poi,0.00022568269013766644,-117.202454,32.8916242
poi_356140998,poi,9.027307605506658e-05,-117.107177,32.7237331
poi_356173045,poi,4.513653802753329e-05,-117.2531191,32.9333734
poi_356189560,poi,0.0006770480704129993,-117.0338989,32.546992
poi_356345999,poi,0.00013540961408259986,-117.1997349,32.7454956
poi_356358180,poi,0.0007221846084405326,-117.15478,32.7482502
poi_356477738,poi,0.0004965019183028661,-117.0690016,32.7606149
poi_356521524,poi,4.513653802753329e-05,-116.993186,32.682478
poi_356522344,poi,9.027307605506658e-05,-116.971897,32.633323
poi_356522506,poi,9.027307605506658e-05,-116.971469,32.647006
poi_356522718,poi,4.513653802753329e-05,-116.973364,32.657286
poi_356523027,poi,4.513653802753329e-05,-116.9709067,32.6165148
poi_356523059,poi,4.513653802753329e-05,-116.9743927,32.6574083
poi_356523087,poi,4.513653802753329e-05,-116.9707741,32.6326771
poi_356523112,poi,4.513653802753329e-05,-116.970865,32.63036
poi_356523209,poi,9.027307605506658e-05,-116.977922,32.659869
poi_356523355,poi,4.513653802753329e-05,-116.970323,32.642613
poi_356523369,poi,0.0,-116.975552,32.659402
poi_356523677,poi,0.0018505980591288647,-116.9708101,32.6225843
poi_356523689,poi,0.0,-116.969938,32.645066
poi_356524034,poi,0.0,-116.970228,32.619443
poi_356524036,poi,4.513653802753329e-05,-116.9710426,32.6422315
poi_356524224,poi,9.027307605506658e-05,-116.9790965,32.6601088
poi_356534762,poi,0.0003610923042202663,-117.1557561,32.7145812
poi_358779422,poi,0.0,-117.1355881,32.7650502
poi_358779429,poi,0.0,-117.1188889,32.7613889
poi_358779608,poi,9.027307605506658e-05,-116.7742181,32.8381011
poi_358779627,poi,0.0,-116.9711403,32.5679599
poi_358780140,poi,0.0,-117.1078084,32.6981079
poi_358780173,poi,0.0,-117.15042,32.7207107
poi_358780235,poi,4.513653802753329e-05,-116.9532526,32.7956375
poi_358780249,poi,0.0,-117.0075272,32.7297744
poi_358780321,poi,0.0,-116.6961297,32.6061709
poi_358780630,poi,4.513653802753329e-05,-117.2444382,32.6899207
poi_358780939,poi,4.513653802753329e-05,-117.2472577,33.2203138
poi_358780941,poi,0.0,-116.6647416,33.3825341
poi_358781008,poi,0.0,-116.9312425,32.8087165
poi_358781210,poi,0.0,-117.3422604,33.1697596
poi_358781457,poi,9.027307605506658e-05,-117.1626698,32.7221734
poi_358781571,poi,0.00013540961408259986,-117.2835186,33.0248872
poi_358781650,poi,0.0,-116.9736376,32.7475521
poi_358781694,poi,0.0,-117.0569718,32.6144994
poi_358781846,poi,9.027307605506658e-05,-117.1830892,32.6919963
poi_358781849,poi,4.513653802753329e-05,-117.107563,32.7510417
poi_358781869,poi,9.027307605506658e-05,-117.270449,32.9948491
poi_358781974,poi,0.0,-116.9605821,32.7797736
poi_358782271,poi,0.0,-116.2956871,32.6677225
poi_358782289,poi,0.000631911532385466,-117.2786487,32.8444917
poi_358782357,poi,0.0,-117.2383698,32.7478277
poi_358782542,poi,9.027307605506658e-05,-117.1817002,32.6917186
poi_358782544,poi,9.027307605506658e-05,-117.1822559,32.691163
poi_358782645,poi,0.00013540961408259986,-117.0753215,32.7528925
poi_358782720,poi,4.513653802753329e-05,-117.2383698,32.7931044
poi_358782723,poi,9.027307605506658e-05,-117.1888781,32.6970088
poi_358782822,poi,0.0,-117.0578054,32.6317212
poi_358782826,poi,4.513653802753329e-05,-117.2330413,32.7329127
poi_358782957,poi,0.0,-117.0580853,32.7814393
poi_358782966,poi,4.513653802753329e-05,-117.2631829,32.9526839
poi_358783221,poi,0.0,-117.2036458,33.1433722
poi_358783519,poi,4.513653802753329e-05,-116.9536382,32.8253279
poi_358783522,poi,0.0,-116.9465447,32.7974103
poi_358783614,poi,0.0,-116.3939766,33.3427179
poi_358783694,poi,0.0,-116.9680823,32.7789402
poi_358783753,poi,0.0,-117.0594734,32.7139411
poi_358783924,poi,0.00013540961408259986,-117.1247535,32.6867192
